topicid,title,year
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1987
16,ACM SIGSOFT Software Engineering Notes,1987
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1988
16,ACM SIGPLAN Notices,1988
16,ACM SIGSOFT Software Engineering Notes,1988
16,ACM Transactions on Programming Languages and Systems,1988
16,Communications of the ACM,1988
16,ACM SIGPLAN Lisp Pointers,1989
16,ACM SIGSOFT Software Engineering Notes,1989
16,ACM SIGAda Ada Letters,1990
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1990
16,ACM SIGPLAN Notices,1990
16,ACM SIGSOFT Software Engineering Notes,1990
16,Communications of the ACM,1990
16,ACM SIGCSE Bulletin,1991
16,ACM SIGPLAN Notices,1991
16,ACM SIGSMALL/PC Notes,1991
16,Communications of the ACM,1991
16,ACM SIGOPS Operating Systems Review,1992
16,ACM SIGPLAN Notices,1992
16,ACM SIGSOFT Software Engineering Notes,1992
16,ACM Transactions on Software Engineering and Methodology,1992
16,Communications of the ACM,1992
16,ACM SIGAPL APL Quote Quad,1993
16,ACM SIGFORTH Newsletter,1993
16,ACM SIGOIS Bulletin,1993
16,ACM SIGPLAN OOPS Messenger,1993
16,ACM SIGSOFT Software Engineering Notes,1993
16,ACM Transactions on Programming Languages and Systems,1993
16,ACM Transactions on Software Engineering and Methodology,1993
16,StandardView,1993
16,ACM SIGARCH Computer Architecture News,1994
16,ACM SIGAda Ada Letters,1994
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1994
16,ACM SIGSOFT Software Engineering Notes,1994
16,Communications of the ACM,1994
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1995
16,ACM SIGMIS Database,1995
16,ACM SIGPLAN Notices,1995
16,ACM SIGSOFT Software Engineering Notes,1995
16,ACM SIGAda Ada Letters,1996
16,ACM SIGCHI Bulletin,1996
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1996
16,ACM SIGICE Bulletin,1996
16,ACM SIGPLAN Fortran Forum,1996
16,ACM SIGPLAN Notices,1996
16,ACM SIGSOFT Software Engineering Notes,1996
16,ACM Transactions on Software Engineering and Methodology,1996
16,Communications of the ACM,1996
16,ACM SIGAPL APL Quote Quad,1997
16,ACM SIGAda Ada Letters,1997
16,ACM SIGCSE Bulletin,1997
16,ACM SIGSOFT Software Engineering Notes,1997
16,Communications of the ACM,1997
16,ACM SIGAda Ada Letters,1998
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1998
16,ACM SIGPLAN Notices,1998
16,ACM SIGSOFT Software Engineering Notes,1998
16,ACM Transactions on Software Engineering and Methodology,1998
16,ACM SIGAda Ada Letters,1999
16,ACM SIGDOC Asterisk Journal of Computer Documentation,1999
16,ACM SIGPLAN Notices,1999
16,ACM SIGSOFT Software Engineering Notes,1999
16,Communications of the ACM,1999
16,ACM SIGPLAN Notices,2000
16,ACM SIGSOFT Software Engineering Notes,2000
16,ACM Transactions on Programming Languages and Systems,2000
16,ACM Journal of Computer Documentation,2001
16,ACM SIGAda Ada Letters,2001
16,ACM SIGPLAN Notices,2001
16,ACM SIGSOFT Software Engineering Notes,2001
16,ACM SIGAPP Applied Computing Review,2002
16,ACM SIGPLAN Fortran Forum,2002
16,ACM SIGPLAN Notices,2002
16,ACM SIGSOFT Software Engineering Notes,2002
16,ACM Transactions on Mathematical Software,2002
16,ACM Transactions on Software Engineering and Methodology,2002
16,ACM SIGAda Ada Letters,2003
16,ACM SIGPLAN Notices,2003
16,ACM SIGSOFT Software Engineering Notes,2003
16,ACM Transactions on Software Engineering and Methodology,2003
16,Communications of the ACM,2003
16,Queue,2003
16,ACM SIGAda Ada Letters,2004
16,ACM SIGCSE Bulletin,2004
16,ACM SIGPLAN Notices,2004
16,ACM SIGSOFT Software Engineering Notes,2004
16,Communications of the ACM,2004
16,Queue,2004
16,ACM SIGAda Ada Letters,2005
16,ACM SIGCSE Bulletin,2005
16,ACM SIGPLAN Fortran Forum,2005
16,ACM SIGPLAN Notices,2005
16,ACM SIGSOFT Software Engineering Notes,2005
16,ACM Transactions on Software Engineering and Methodology,2005
16,Communications of the ACM,2005
16,Queue,2005
16,ACM SIGAda Ada Letters,2006
16,ACM SIGCOMM Computer Communication Review,2006
16,ACM SIGCSE Bulletin,2006
16,ACM SIGKDD Explorations Newsletter,2006
16,ACM SIGOPS Operating Systems Review,2006
16,ACM SIGPLAN Notices,2006
16,ACM SIGSOFT Software Engineering Notes,2006
16,ACM Transactions on Software Engineering and Methodology,2006
16,Communications of the ACM,2006
16,Crossroads,2006
16,Journal on Educational Resources in Computing,2006
16,Queue,2006
16,ACM SIGCSE Bulletin,2007
16,ACM SIGOPS Operating Systems Review,2007
16,ACM SIGPLAN Notices,2007
16,ACM SIGSOFT Software Engineering Notes,2007
16,ACM Transactions on Software Engineering and Methodology,2007
16,ACM SIGCSE Bulletin,2008
16,ACM SIGOPS Operating Systems Review,2008
16,ACM SIGPLAN Notices,2008
16,ACM SIGSOFT Software Engineering Notes,2008
16,ACM Transactions on Software Engineering and Methodology,2008
16,Communications of the ACM,2008
16,ACM SIGPLAN Notices,2009
16,ACM SIGSOFT Software Engineering Notes,2009
16,ACM Transactions on Computing Education,2009
16,ACM Transactions on Programming Languages and Systems,2009
16,ACM Transactions on Software Engineering and Methodology,2009
16,Communications of the ACM,2009
16,Queue,2009
16,ACM SIGOPS Operating Systems Review,2010
16,ACM SIGPLAN Notices,2010
16,ACM SIGSOFT Software Engineering Notes,2010
16,ACM Transactions on Software Engineering and Methodology,2010
16,Communications of the ACM,2010
16,ACM SIGAda Ada Letters,2011
16,ACM SIGMOD Record,2011
16,ACM SIGPLAN Notices,2011
16,ACM SIGSOFT Software Engineering Notes,2011
16,ACM Transactions on Programming Languages and Systems,2011
16,ACM Transactions on Software Engineering and Methodology,2011
16,Communications of the ACM,2011
16,Queue,2011
17,Journal of the ACM,1956
17,Communications of the ACM,1959
17,Communications of the ACM,1964
17,Communications of the ACM,1965
17,Communications of the ACM,1969
17,Journal of the ACM,1969
17,ACM SIGCSE Bulletin,1971
17,ACM SIGCSE Bulletin,1972
17,ACM SIGARCH Computer Architecture News,1973
17,ACM SIGCSE Bulletin,1973
17,ACM SIGCSE Bulletin,1974
17,ACM SIGPLAN Notices,1974
17,Communications of the ACM,1974
17,ACM SIGCSE Bulletin,1975
17,ACM SIGARCH Computer Architecture News,1976
17,ACM SIGCSE Bulletin,1976
17,ACM SIGCUE Outlook,1976
17,ACM SIGARCH Computer Architecture News,1977
17,ACM SIGCSE Bulletin,1977
17,ACM Computing Surveys,1978
17,ACM SIGCSE Bulletin,1978
17,Communications of the ACM,1978
17,ACM SIGCSE Bulletin,1979
17,ACM SIGCSE Bulletin,1980
17,ACM SIGAPL APL Quote Quad,1981
17,ACM SIGCSE Bulletin,1981
17,ACM SIGSOC Bulletin,1981
17,Communications of the ACM,1981
17,ACM SIGAPL APL Quote Quad,1982
17,ACM SIGCSE Bulletin,1982
17,Communications of the ACM,1982
17,ACM SIGCSE Bulletin,1983
17,ACM SIGGRAPH Computer Graphics,1983
17,Communications of the ACM,1983
17,ACM SIGCSE Bulletin,1984
17,ACM SIGMIS Database,1984
17,Communications of the ACM,1984
17,ACM SIGAPL APL Quote Quad,1985
17,ACM SIGCAS Computers and Society,1985
17,ACM SIGCHI Bulletin,1985
17,ACM SIGCSE Bulletin,1985
17,ACM SIGPLAN Fortran Forum,1985
17,Communications of the ACM,1985
17,ACM SIGCPR Computer Personnel,1986
17,ACM SIGCSE Bulletin,1986
17,ACM SIGGRAPH Computer Graphics,1986
17,Communications of the ACM,1986
17,ACM SIGAPL APL Quote Quad,1987
17,ACM SIGBIO Newsletter,1987
17,ACM SIGCHI Bulletin,1987
17,ACM SIGCSE Bulletin,1987
17,ACM SIGCUE Outlook,1987
17,ACM SIGGRAPH Computer Graphics,1987
17,ACM SIGPLAN Notices,1987
17,ACM SIGSMALL/PC Notes,1987
17,ACM SIGSOFT Software Engineering Notes,1987
17,ACM SIGUCCS Newsletter,1987
17,Communications of the ACM,1987
17,ACM SIGCSE Bulletin,1988
17,ACM SIGCUE Outlook,1988
17,ACM SIGGRAPH Computer Graphics,1988
17,ACM SIGSMALL/PC Notes,1988
17,ACM SIGUCCS Newsletter,1988
17,Communications of the ACM,1988
17,ACM SIGACT News,1989
17,ACM SIGAPL APL Quote Quad,1989
17,ACM SIGARCH Computer Architecture News,1989
17,ACM SIGCAS Computers and Society,1989
17,ACM SIGCHI Bulletin,1989
17,ACM SIGCSE Bulletin,1989
17,ACM SIGGRAPH Computer Graphics,1989
17,ACM SIGPLAN Notices,1989
17,ACM SIGSMALL/PC Notes,1989
17,Communications of the ACM,1989
17,ACM SIGCHI Bulletin,1990
17,ACM SIGCSE Bulletin,1990
17,ACM SIGDOC Asterisk Journal of Computer Documentation,1990
17,Communications of the ACM,1990
17,ACM SIGBIO Newsletter,1991
17,ACM SIGCPR Computer Personnel,1991
17,ACM SIGCSE Bulletin,1991
17,ACM SIGCUE Outlook,1991
17,ACM SIGFORTH Newsletter,1991
17,ACM SIGGRAPH Computer Graphics,1991
17,ACM SIGPLAN Notices,1991
17,Communications of the ACM,1991
17,ACM SIGAPL APL Quote Quad,1992
17,ACM SIGCHI Bulletin,1992
17,ACM SIGCOMM Computer Communication Review,1992
17,ACM SIGCSE Bulletin,1992
17,ACM SIGPLAN Lisp Pointers,1992
17,ACM SIGPLAN OOPS Messenger,1992
17,ACM SIGSOFT Software Engineering Notes,1992
17,Communications of the ACM,1992
17,ACM SIGACT News,1993
17,ACM SIGAPL APL Quote Quad,1993
17,ACM SIGBIO Newsletter,1993
17,ACM SIGCHI Bulletin,1993
17,ACM SIGCSE Bulletin,1993
17,ACM SIGGRAPH Computer Graphics,1993
17,ACM SIGMOD Record,1993
17,ACM SIGPLAN Lisp Pointers,1993
17,ACM SIGPLAN Notices,1993
17,Communications of the ACM,1993
17,3C ON-LINE,1994
17,ACM SIGACT News,1994
17,ACM SIGAPL APL Quote Quad,1994
17,ACM SIGAda Ada Letters,1994
17,ACM SIGCHI Bulletin,1994
17,ACM SIGCSE Bulletin,1994
17,ACM SIGCUE Outlook,1994
17,ACM SIGFORTH Newsletter,1994
17,ACM SIGGRAPH Computer Graphics,1994
17,ACM SIGMIS Database,1994
17,ACM SIGOIS Bulletin,1994
17,ACM SIGPLAN Notices,1994
17,Communications of the ACM,1994
17,Crossroads,1994
17,3C ON-LINE,1995
17,ACM Computing Surveys,1995
17,ACM SIGACT News,1995
17,ACM SIGART Bulletin,1995
17,ACM SIGAda Ada Letters,1995
17,ACM SIGCHI Bulletin,1995
17,ACM SIGCPR Computer Personnel,1995
17,ACM SIGCSE Bulletin,1995
17,ACM SIGPLAN Fortran Forum,1995
17,Communications of the ACM,1995
17,Crossroads,1995
17,interactions,1995
17,3C ON-LINE,1996
17,ACM Computing Surveys,1996
17,ACM SIGACT News,1996
17,ACM SIGAPL APL Quote Quad,1996
17,ACM SIGAda Ada Letters,1996
17,ACM SIGCHI Bulletin,1996
17,ACM SIGCSE Bulletin,1996
17,ACM SIGCUE Outlook,1996
17,ACM SIGGRAPH Computer Graphics,1996
17,ACM SIGIR Forum,1996
17,ACM SIGMIS Database,1996
17,ACM SIGOIS Bulletin,1996
17,ACM SIGPLAN Notices,1996
17,ACM SIGSIM Simulation Digest,1996
17,Communications of the ACM,1996
17,3C ON-LINE,1997
17,ACM Computing Surveys,1997
17,ACM SIGAda Ada Letters,1997
17,ACM SIGCSE Bulletin,1997
17,ACM SIGCUE Outlook,1997
17,ACM SIGGRAPH Computer Graphics,1997
17,ACM SIGMIS Database,1997
17,ACM SIGSOFT Software Engineering Notes,1997
17,Communications of the ACM,1997
17,Crossroads,1997
17,interactions,1997
17,ACM SIGACT News,1998
17,ACM SIGAPL APL Quote Quad,1998
17,ACM SIGAda Ada Letters,1998
17,ACM SIGCAS Computers and Society,1998
17,ACM SIGCHI Bulletin,1998
17,ACM SIGCSE Bulletin,1998
17,ACM SIGCUE Outlook,1998
17,ACM SIGGRAPH Computer Graphics,1998
17,ACM SIGMIS Database,1998
17,ACM SIGPLAN Notices,1998
17,ACM SIGSOFT Software Engineering Notes,1998
17,Communications of the ACM,1998
17,Crossroads,1998
17,ACM SIGAda Ada Letters,1999
17,ACM SIGCHI Bulletin,1999
17,ACM SIGCSE Bulletin,1999
17,ACM SIGGRAPH Computer Graphics,1999
17,ACM SIGPLAN Notices,1999
17,ACM SIGSOFT Software Engineering Notes,1999
17,Communications of the ACM,1999
17,Crossroads,1999
17,ACM SIGACT News,2000
17,ACM SIGAda Ada Letters,2000
17,ACM SIGCHI Bulletin,2000
17,ACM SIGCSE Bulletin,2000
17,ACM SIGGRAPH Computer Graphics,2000
17,ACM SIGMIS Database,2000
17,ACM SIGPLAN Notices,2000
17,ACM SIGSOFT Software Engineering Notes,2000
17,Communications of the ACM,2000
17,Crossroads,2000
17,interactions,2000
17,ACM SIGAda Ada Letters,2001
17,ACM SIGCSE Bulletin,2001
17,ACM SIGGRAPH Computer Graphics,2001
17,ACM SIGPLAN Notices,2001
17,Communications of the ACM,2001
17,Crossroads,2001
17,Journal of Educational Resources in Computing,2001
17,Ubiquity,2001
17,eLearn,2001
17,intelligence,2001
17,interactions,2001
17,ACM SIGCAS Computers and Society,2002
17,ACM SIGCSE Bulletin,2002
17,ACM SIGGRAPH Computer Graphics,2002
17,Communications of the ACM,2002
17,Journal on Educational Resources in Computing,2002
17,interactions,2002
17,ACM SIGCSE Bulletin,2003
17,ACM SIGPLAN Notices,2003
17,Communications of the ACM,2003
17,Computers in Entertainment,2003
17,ACM SIGCSE Bulletin,2004
17,Communications of the ACM,2004
17,Computers in Entertainment,2004
17,Crossroads,2004
17,Journal on Educational Resources in Computing,2004
17,ACM SIGACT News,2005
17,ACM SIGBED Review,2005
17,ACM SIGCOMM Computer Communication Review,2005
17,ACM SIGCSE Bulletin,2005
17,ACM SIGGRAPH Computer Graphics,2005
17,ACM SIGITE Newsletter,2005
17,ACM SIGSOFT Software Engineering Notes,2005
17,ACM Transactions on Embedded Computing Systems,2005
17,Communications of the ACM,2005
17,Journal on Educational Resources in Computing,2005
17,Ubiquity,2005
17,interactions,2005
17,ACM Communications in Computer Algebra,2006
17,ACM SIGCSE Bulletin,2006
17,ACM SIGITE Newsletter,2006
17,ACM SIGMIS Database,2006
17,ACM SIGSOFT Software Engineering Notes,2006
17,Communications of the ACM,2006
17,Journal on Educational Resources in Computing,2006
17,eLearn,2006
17,interactions,2006
17,ACM SIGACT News,2007
17,ACM SIGAda Ada Letters,2007
17,ACM SIGBED Review,2007
17,ACM SIGCSE Bulletin,2007
17,ACM SIGSOFT Software Engineering Notes,2007
17,Communications of the ACM,2007
17,Journal on Educational Resources in Computing,2007
17,ACM Communications in Computer Algebra,2008
17,ACM SIGCAS Computers and Society,2008
17,ACM SIGCSE Bulletin,2008
17,ACM SIGOPS Operating Systems Review,2008
17,ACM SIGPLAN Notices,2008
17,ACM SIGSOFT Software Engineering Notes,2008
17,ACM Transactions on Computer-Human Interaction,2008
17,Communications of the ACM,2008
17,Journal on Educational Resources in Computing,2008
17,Queue,2008
17,Ubiquity,2008
17,interactions,2008
17,ACM SIGACT News,2009
17,ACM SIGBED Review,2009
17,ACM SIGCSE Bulletin,2009
17,ACM SIGOPS Operating Systems Review,2009
17,ACM SIGSOFT Software Engineering Notes,2009
17,ACM Transactions on Computing Education,2009
17,Communications of the ACM,2009
17,Computers in Entertainment,2009
17,Crossroads,2009
17,Journal on Educational Resources in Computing,2009
17,eLearn,2009
17,ACM Inroads,2010
17,ACM SIGAda Ada Letters,2010
17,ACM SIGCSE Bulletin,2010
17,ACM SIGOPS Operating Systems Review,2010
17,ACM SIGPLAN Notices,2010
17,ACM SIGSOFT Software Engineering Notes,2010
17,ACM Transactions on Computing Education,2010
17,ACM Transactions on Management Information Systems,2010
17,Communications of the ACM,2010
17,eLearn,2010
17,ACM Inroads,2011
17,ACM SIGCSE Bulletin,2011
17,ACM SIGMOD Record,2011
17,ACM SIGSOFT Software Engineering Notes,2011
17,ACM Transactions on Computing Education,2011
17,Communications of the ACM,2011
17,Queue,2011
17,"XRDS: Crossroads, The ACM Magazine for Students",2011
17,eLearn,2011
18,Communications of the ACM,1959
18,Journal of the ACM,1959
18,Communications of the ACM,1964
18,ACM Computing Surveys,1975
18,ACM SIGCSE Bulletin,1975
18,ACM SIGPLAN Notices,1975
18,ACM SIGSIM Simulation Digest,1976
18,ACM SIGPLAN Notices,1977
18,ACM SIGMETRICS Performance Evaluation Review,1978
18,ACM SIGNUM Newsletter,1978
18,ACM SIGSOFT Software Engineering Notes,1978
18,Communications of the ACM,1978
18,ACM SIGPLAN Notices,1979
18,ACM Transactions on Programming Languages and Systems,1980
18,ACM SIGAPL APL Quote Quad,1981
18,ACM SIGMETRICS Performance Evaluation Review,1981
18,Journal of the ACM,1981
18,ACM Computing Surveys,1982
18,ACM SIGAPL APL Quote Quad,1982
18,ACM SIGPLAN Notices,1982
18,Communications of the ACM,1982
18,ACM SIGPLAN Notices,1983
18,ACM SIGSOFT Software Engineering Notes,1983
18,ACM Transactions on Programming Languages and Systems,1983
18,ACM SIGCOMM Computer Communication Review,1984
18,ACM SIGMICRO Newsletter,1984
18,Communications of the ACM,1984
18,ACM SIGCOMM Computer Communication Review,1985
18,ACM SIGMICRO Newsletter,1985
18,ACM SIGMETRICS Performance Evaluation Review,1986
18,ACM SIGCHI Bulletin,1987
18,ACM SIGPLAN Notices,1987
18,ACM SIGSOFT Software Engineering Notes,1987
18,Communications of the ACM,1987
18,ACM SIGCOMM Computer Communication Review,1988
18,ACM SIGPLAN Notices,1988
18,ACM SIGSOFT Software Engineering Notes,1988
18,Communications of the ACM,1988
18,ACM SIGCHI Bulletin,1989
18,ACM SIGCOMM Computer Communication Review,1989
18,ACM SIGMIS Database,1989
18,ACM SIGPLAN Notices,1989
18,ACM SIGSOFT Software Engineering Notes,1989
18,ACM SIGAda Ada Letters,1990
18,ACM SIGSOFT Software Engineering Notes,1990
18,Communications of the ACM,1990
18,ACM SIGAPL APL Quote Quad,1991
18,ACM SIGPLAN Lisp Pointers,1991
18,ACM SIGPLAN Notices,1991
18,ACM SIGSMALL/PC Notes,1991
18,ACM SIGSOFT Software Engineering Notes,1991
18,Communications of the ACM,1991
18,ACM SIGPLAN OOPS Messenger,1992
18,ACM SIGSOFT Software Engineering Notes,1992
18,ACM Transactions on Software Engineering and Methodology,1992
18,ACM SIGART Bulletin,1993
18,ACM SIGCSE Bulletin,1993
18,ACM SIGSOFT Software Engineering Notes,1993
18,ACM Transactions on Software Engineering and Methodology,1993
18,Communications of the ACM,1993
18,ACM SIGCSE Bulletin,1994
18,ACM SIGMETRICS Performance Evaluation Review,1994
18,ACM SIGSOFT Software Engineering Notes,1994
18,ACM Transactions on Software Engineering and Methodology,1994
18,Communications of the ACM,1994
18,IEEE/ACM Transactions on Networking,1994
18,StandardView,1994
18,ACM SIGCOMM Computer Communication Review,1995
18,ACM SIGPLAN Notices,1995
18,ACM SIGSOFT Software Engineering Notes,1995
18,ACM Transactions on Computer Systems,1995
18,ACM Transactions on Software Engineering and Methodology,1995
18,Communications of the ACM,1995
18,IEEE/ACM Transactions on Networking,1995
18,StandardView,1995
18,ACM Computing Surveys,1996
18,ACM SIGPLAN Notices,1996
18,ACM SIGSIM Simulation Digest,1996
18,ACM SIGSOFT Software Engineering Notes,1996
18,ACM Transactions on Software Engineering and Methodology,1996
18,ACM Computing Surveys,1997
18,ACM SIGAda Ada Letters,1997
18,ACM SIGSOFT Software Engineering Notes,1997
18,ACM Transactions on Software Engineering and Methodology,1997
18,Communications of the ACM,1997
18,ACM SIGAda Ada Letters,1998
18,ACM SIGCOMM Computer Communication Review,1998
18,ACM SIGPLAN Notices,1998
18,ACM SIGSOFT Software Engineering Notes,1998
18,ACM Transactions on Software Engineering and Methodology,1998
18,Communications of the ACM,1998
18,ACM SIGAda Ada Letters,1999
18,ACM SIGPLAN Notices,1999
18,ACM SIGSOFT Software Engineering Notes,1999
18,ACM Transactions on Software Engineering and Methodology,1999
18,ACM Computing Surveys,2000
18,ACM SIGPLAN Notices,2000
18,ACM SIGSOFT Software Engineering Notes,2000
18,ACM Computing Surveys,2001
18,ACM SIGAda Ada Letters,2001
18,ACM SIGCSE Bulletin,2001
18,ACM SIGPLAN Notices,2001
18,ACM SIGSOFT Software Engineering Notes,2001
18,ACM Transactions on Software Engineering and Methodology,2001
18,ACM SIGAda Ada Letters,2002
18,ACM SIGCSE Bulletin,2002
18,ACM SIGPLAN Notices,2002
18,ACM SIGSOFT Software Engineering Notes,2002
18,ACM Transactions on Mathematical Software,2002
18,ACM Transactions on Software Engineering and Methodology,2002
18,ACM SIGCSE Bulletin,2003
18,ACM SIGSOFT Software Engineering Notes,2003
18,ACM Transactions on Software Engineering and Methodology,2003
18,Journal on Educational Resources in Computing,2003
18,Queue,2003
18,ACM SIGAda Ada Letters,2004
18,ACM SIGCSE Bulletin,2004
18,ACM SIGSOFT Software Engineering Notes,2004
18,ACM Transactions on Software Engineering and Methodology,2004
18,Communications of the ACM,2004
18,ACM SIGBED Review,2005
18,ACM SIGCSE Bulletin,2005
18,ACM SIGPLAN Notices,2005
18,ACM SIGSOFT Software Engineering Notes,2005
18,ACM Transactions on Applied Perception,2005
18,ACM Transactions on Software Engineering and Methodology,2005
18,Communications of the ACM,2005
18,Queue,2005
18,ACM SIGCSE Bulletin,2006
18,ACM SIGPLAN Notices,2006
18,ACM SIGSOFT Software Engineering Notes,2006
18,ACM Transactions on Software Engineering and Methodology,2006
18,Communications of the ACM,2006
18,Queue,2006
18,Ubiquity,2006
18,ACM SIGCSE Bulletin,2007
18,ACM SIGMOD Record,2007
18,ACM SIGPLAN Notices,2007
18,ACM SIGSOFT Software Engineering Notes,2007
18,ACM Transactions on Programming Languages and Systems,2007
18,ACM Transactions on Software Engineering and Methodology,2007
18,Communications of the ACM,2007
18,ACM SIGAda Ada Letters,2008
18,ACM SIGCSE Bulletin,2008
18,ACM SIGMIS Database,2008
18,ACM SIGSOFT Software Engineering Notes,2008
18,ACM Transactions on Reconfigurable Technology and Systems,2008
18,ACM Transactions on Software Engineering and Methodology,2008
18,Queue,2008
18,ACM Computing Surveys,2009
18,ACM SIGCOMM Computer Communication Review,2009
18,ACM SIGPLAN Notices,2009
18,ACM SIGSOFT Software Engineering Notes,2009
18,ACM Transactions on Software Engineering and Methodology,2009
18,ACM Transactions on the Web,2009
18,Communications of the ACM,2009
18,ACM SIGPLAN Notices,2010
18,ACM SIGSOFT Software Engineering Notes,2010
18,Communications of the ACM,2010
18,ACM SIGAda Ada Letters,2011
18,ACM SIGPLAN Notices,2011
18,ACM SIGSOFT Software Engineering Notes,2011
18,ACM Transactions on Software Engineering and Methodology,2011
18,Queue,2011
31,ACM SIGAPL APL Quote Quad,1979
31,ACM SIGSOC Bulletin,1981
31,ACM SIGAPL APL Quote Quad,1983
31,ACM SIGCHI Bulletin,1985
31,ACM SIGGRAPH Computer Graphics,1985
31,ACM SIGCHI Bulletin,1986
31,ACM SIGCHI Bulletin,1989
31,ACM SIGCHI Bulletin,1991
31,ACM SIGDOC Asterisk Journal of Computer Documentation,1991
31,ACM SIGGRAPH Computer Graphics,1991
31,ACM SIGAPL APL Quote Quad,1992
31,ACM SIGOIS Bulletin,1992
31,ACM SIGAPL APL Quote Quad,1993
31,ACM SIGCHI Bulletin,1993
31,ACM SIGMOD Record,1993
31,Communications of the ACM,1993
31,ACM SIGAPL APL Quote Quad,1994
31,ACM SIGCHI Bulletin,1994
31,Communications of the ACM,1994
31,interactions,1994
31,ACM SIGCAPH Computers and the Physically Handicapped,1995
31,ACM SIGMOD Record,1995
31,ACM SIGWEB Newsletter,1995
31,ACM SIGCSE Bulletin,1996
