topicid,item,counts
,allocation problem,700
,combinatorial optimization,700
,integer linear,700
,problem solved,700
,solve problem,700
49,query optimization,3800
,sql queries,1400
,query optimizer,1300
,query execution,1200
,sql query,1000
,query processing,808
,join processing,800
,join algorithms,700
,query plans,700
,join algorithm,600
50,energy aware,2100
,voltage scaling,1500
,energy consumption,1354
,energy saving,1300
,energy consumed,1200
,battery powered,1000
,power management,808
,energy management,800
,frequency scaling,800
,power consumption,734
51,internet routing,1000
,future internet,900
,routing tables,700
,mobility management,600
,bgp,582
,ingress egress,500
,inter domain,500
,interdomain routing,400
,network protocols,400
,overlay networks,400
52,multimedia documents,900
,digital television,600
,digital media,500
,interactive digital,400
,interactive television,400
,multimedia authoring,400
,nested context,400
,audio video,395
,video content,353
,television,344
53,cpu gpu,1400
,gpu,1066
,cell processor,1000
,cell broadband,800
,gpu accelerated,700
,graphics processing units gpus,700
,gpu architectures,600
,graphics processors,600
,nvidia cuda,600
,processing units gpus,600
54,italicn italic,1001
,competitive ratio,1000
,oblivious routing,800
,italicd italic,537
,load balancing,522
,online algorithms,500
,competitive,419
,competitive analysis,400
,tight bounds,400
,italick italic,376
55,query log,1500
,query logs,1300
,information retrieval,1261
,search engine,1135
,query suggestion,1100
,search result,1100
,web search,1038
,search engines,984
,search behavior,900
,search logs,900
56,video games,780
,web pages,684
,game,637
,html pages,500
,games,437
,exertion games,400
,pervasive games,400
,web page,395
,computer games,393
,game play,333
57,solid modeling,1500
,cad cam,1100
,geometric modeling,800
,voronoi diagram,700
,geometric objects,600
,geometric,569
,contour map,500
,solid models,500
,computational geometry,400
,design manufacturing,400
58,software engineering,2092
,software process,1500
,agile software,1100
,software development process,1100
,software development,916
,agile development,900
,development processes,800
,process model,800
,development process,794
,agile,711
59,petri nets,604
,carlo modeling,500
,alpha sim,300
,current state,300
,devs scheme simulation,300
,dipole antenna,300
,heat shock,300
,monte carlo,263
,discrete event simulation,213
,coloured stochastic multilevel multiset rewriting,200
60,ray tracing,1822
,global illumination,700
,illumination,682
,time rendering,600
,ray,576
,lighting,525
,based rendering,500
,graphics pipeline,500
,pixel shader,500
,light,476
61,information retrieval,5238
,document retrieval,2300
,query expansion,1207
,retrieval systems,1200
,retrieval system,1044
,text retrieval,1000
,retrieval models,900
,document collections,800
,retrieval,774
,relevance feedback,702
62,formal verification,928
,sat solver,900
,boolean satisfiability,700
,boolean satisfiability sat,700
,equivalence checking,600
,functional verification,600
,sat solvers,600
,sat,577
,hardware verification,500
,boolean formula,400
63,placement routing,1700
,physical design,1200
,placement,1172
,rent rule,1100
,detailed routing,800
,global routing,700
,timing driven,600
,wire length,600
,simulated annealing,554
,delay budgeting,500
64,fault tolerance,9321
,fault tolerant,6473
,checkpoint restart,600
,fault tolerant distributed,600
,quorum systems,600
,reliability availability,600
,tolerance,523
,byzantine fault tolerant,500
,fault tolerance distributed,500
,group communication,500
65,face recognition,2200
,computer vision,1900
,video surveillance,1700
,vision based,1200
,face detection,900
,object tracking,900
,tracking,811
,action recognition,600
,object recognition,600
,proposed method,517
66,partial evaluation,2265
,logic programming,1825
,lambda calculus,1000
,partial evaluator,800
,logic programs,750
,constraint solving,700
,term rewriting,700
,abstract interpretation,642
,abstract interpretations,600
,constraint programming,600
67,structured programming,1267
,machine language,800
,data types,750
,data abstraction,700
,level languages,700
,operating system,628
,level language,516
,operating systems,514
,computer systems,468
,programming languages,412
68,faculty staff,1300
,faculty students,800
,hewlett packard,800
,students faculty staff,800
,faculty staff students,700
,computer lab,600
,support staff,600
,academic departments,500
,staff students,500
,university delaware,500
69,deformation,381
,shape,312
,sketch based,302
,furniture arrangements,300
,interactive modeling,300
,mesh deformation,300
,partial shape,300
,sketch based modeling,300
,shapes,239
,deformation equation,200
70,wireless lan,1100
,multicast,855
,access point,700
,mac protocol,700
,reliable multicast,700
,wireless medium,700
,wireless networks,628
,vehicular networks,600
,mac layer,564
,wireless network,549
71,question answering,1448
,document summarization,900
,text summarization,800
,information retrieval,711
,topic segmentation,500
,cross language,487
,summarization,427
,average precision,400
,keyphrase extraction,400
,question answer,400
72,disk drive,1400
,disk array,700
,disk arrays,700
,disk drives,700
,disk scheduling,600
,disk head,500
,disk bandwidth,400
,disk failures,400
,mems based storage,400
,disk,368
73,participatory sensing,1200
,mobile phones,939
,mobile phone,740
,cell phone,700
,driver assistance,600
,driving simulator,600
,gps traces,600
,carbon emissions,500
,mobile sensing,500
,public transportation,500
74,differential equations,2600
,symbolic computation,1900
,part italicy,1400
,computer algebra,1359
,algebraic,916
,algebraic manipulation,900
,algebra system,700
,algebra systems,700
,symbolic algebra,700
,differential,699
75,fourier transform,900
,las vegas,500
,vector congruence,500
,algorithm computing,400
,fast fourier transform,400
,isup minus,400
,multiplication algorithm,400
,polynomial multiplication,400
,positive integers,400
,matrix multiplication,382
76,type inference,4700
,type system,4058
,type,1764
,type checking,1125
,static type,900
,type qualifiers,800
,type safety,800
,higher order,753
,inference algorithm,700
,intersection types,700
77,amazon mechanical turk,900
,mechanical turk,800
,wiki pages,800
,wikipedia articles,700
,wiki,657
,wikipedia,543
,articles contributors,400
,open source,368
,online communities,333
,social media,323
78,nested loops,900
,loop nests,700
,parallelizing compilers,700
,loop,582
,array intensive,500
,data locality,500
,iteration space,500
,iterations loop,500
,loop parallelization,500
,array,461
79,computational complexity,1700
,italicn italic,1251
,interactive proof,1000
,italicm italic,829
,complexity theory,800
,italic,744
,lower bounds,597
,time complexity,563
,italic italic,529
,complexity problems,500
80,multi core,900
,processor cores,800
,thermal,637
,asymmetry aware,600
,power performance,600
,temperature aware,600
,architectural power,500
,dynamic thermal,500
,thermal management,500
,temperature,474
81,surveyor forum,1900
,openmath mathml,400
,amp rho amp,300
,disjoint paths,300
,surveyor forum technical,300
,amp bull,290
,amp amp,238
,computer algebra,227
,mathematical expressions,202
,special track,202
82,safety critical,800
,automatic verification,700
,abstraction refinement,500
,local reasoning,500
,predicate abstraction,500
,smt solver,500
,static analysis,475
,model checking,420
,decision procedures,400
,separation logic,400
83,remote attestation,700
,trusted computing,700
,malware,570
,malicious behavior,500
,malware detection,500
,security attacks,500
,malicious attacks,400
,malware detectors,400
,memory corruption,400
,sensitive data,400
84,performance prediction,900
,performance measurement,700
,performance analysis,661
,performance metrics,500
,software performance,500
,application specific,410
,performance metric,400
,performance models,400
,palladio component,300
,performance model,253
85,monte carlo,4080
,monte carlo simulation,1600
,random number generators,800
,steady state,800
,carlo simulation,700
,random number,700
,confidence intervals,600
,simulation experiments,600
,importance sampling,400
,monte carlo simulations,400
86,algorithm animation,800
,visualization tool,800
,computer science,498
,algorithm animations,400
,algorithm visualization,400
,visualization tools,400
,computer graphics,364
,teaching learning,328
,active learning,301
,visual learning,300
87,common lisp,900
,lisp,632
,delimited control,600
,functional language,556
,continuation based,500
,continuation passing,500
,lazy evaluation,500
,lisp machine,500
,functional programming,450
,control effects,400
88,concurrent programs,1800
,race conditions,1200
,data races,700
,concurrency bugs,600
,multithreaded programs,600
,race detection,600
,races deadlocks,600
,record replay,500
,data race,400
,replay log,400
89,product line,8900
,product lines,4100
,software product lines,1500
,software product line,1200
,product line engineering,1100
,product,824
,product family,800
,product line spl,600
,line,438
,component reuse,400
90,texture synthesis,1300
,anti aliasing,700
,ray tracing,668
,texture mapping,408
,hidden surface,400
,scan line,400
,texture,340
,computer graphics,333
,hidden surface elimination,300
,motion blur,300
91,cache memory,1200
,embedded memory,1000
,cache architecture,900
,memory banks,900
,cache memories,800
,memory controller,800
,chip memory,730
,data access,700
,memory memory,700
,scratchpad memory,700
92,cellular automata,2157
,quantum mechanics,1400
,quantum computing,1300
,quantum,1139
,quantum computer,800
,quantum classical,600
,efficient parallel,500
,optimal parallel,500
,turing machines,500
,classical quantum,400
93,chip multiprocessors,700
,blue gene,600
,san diego supercomputer,600
,navier stokes,400
,number cores,400
,sgi altix,400
,chip core,300
,exascale computing,300
,high performance computing,300
,pthree dimensional,300
94,bloom filters,2800
,packet classification,1400
,bloom filter,1300
,clock period,1300
,skew scheduling,700
,clock skew scheduling,500
,false positive,400
,packet classifiers,400
,clock skew,329
,false positives,306
95,scheduling policies,1200
,lock free,1100
,scheduling policy,900
,scheduling algorithms,700
,task scheduling,700
,mutual exclusion,688
,synchronization,684
,gang scheduling,600
,synchronization operations,600
,work stealing,600
96,sign language,3600
,speech recognition,1772
,american sign language,800
,natural language,678
,speech recognizer,600
,american sign,500
,american sign language asl,500
,speech synthesis,500
,machine translation,408
,speech,405
97,audio video,2924
,video clips,2700
,video streaming,1904
,video,1818
,sports video,1800
,video streams,1800
,video content,1625
,video quality,1500
,video summarization,1500
,interactive video,1200
98,creative thinking,400
,human computer interaction,400
,man machine,400
,pupil size,400
,brain computer,300
,experience sampling,300
,interactive systems,300
,weekend battle,300
,machine learning,279
,existing approaches,200
99,data center,423
,cmos process,400
,fully integrated,400
,hardware implementation,400
,sigma delta,400
,single chip,400
,ultra low,400
,vlsi implementation,400
,high speed,252
,low latency,252
100,functional units,1600
,software pipelining,1600
,level parallelism,1000
,instruction scheduling,900
,control unit,800
,modulo scheduling,800
,functional unit,700
,instruction level parallelism,700
,instruction level,600
,processor architecture,600
101,vlsi design,1800
,analog circuits,1300
,vlsi layout,900
,circuit simulation,700
,design automation,612
,automated design,600
,design methodology,600
,layout,507
,channel routing,500
,vlsi circuit,500
102,product reviews,1100
,sentiment analysis,600
,opinion,472
,hotel reviews,400
,opinion mining,400
,sentiment,386
,reviews,349
,cross domain sentiment,300
,information explosion,300
,news sentiment,300
105,privacy preserving,3451
,differential privacy,1400
,preserving privacy,1000
,location privacy,900
,private information,900
,privacy aware,800
,privacy preservation,800
,privacy,736
,sensitive information,700
,differentially private,600
106,children,1566
,tangible interfaces,1400
,physical objects,900
,tangible,820
,young children,800
,children ages,700
,pwe propose,600
,tangible interaction,600
,tangible user,600
,school children,500
107,genetic programming,8300
,automatic programming,1600
,grammatical evolution,1100
,genetic programs,700
,program transformations,627
,automatic generation,500
,automatic synthesis,500
,program generator,500
,evolutionary computation,404
,program synthesis,400
108,computer science,880
,experiences teaching,500
,hands labs,500
,hands lab,400
,students understand,400
,undergraduate students,400
,laboratory,342
,teaching operating systems,300
,teaching programming,300
,students,277
109,information systems,935
,technology adoption,700
,organizational,460
,business process,408
,action research,400
,competitive advantage,400
,findings study,400
,implications findings,400
,perceived usefulness,400
,technology acceptance,400
110,moving objects,2300
,spatio temporal,922
,top queries,600
,signature file,500
,uncertain data,500
,moving object,400
,query answers,400
,spatial network,400
,spatio temporal data,400
,query processing,369
111,volume rendering,2200
,data visualization,1300
,scientific visualization,900
,volume data,900
,volume,792
,isosurface extraction,700
,based visualization,600
,interactive exploration,600
,interactive visualization,408
,ray casting,400
112,database design,1300
,entity relationship,800
,relational model,700
,data base,633
,data models,600
,functional dependencies,506
,normal forms,500
,data model,436
,relational databases,419
,relational data,408
113,pub fmt,37409
,inline equation,4700
,pub fmt pub fmt,2200
,external memory,1700
,fmt pub fmt,1500
,cache oblivious,1300
,equation inline equation,1300
,inline equation inline equation,1100
,inline inline equation,1000
,inline equation inline,700
114,web applications,5405
,client side,2600
,web application,2204
,server side,2100
,web services,1871
,web browser,1480
,web service,1149
,service oriented,974
,web technologies,900
,cross site scripting,800
115,data compression,3300
,code compression,2100
,error correction,1600
,compression decompression,1400
,compression ratio,1300
,correcting codes,1300
,compression scheme,1200
,lossless compression,1100
,coding scheme,1000
,compression,962
116,qos guarantees,900
,admission control,800
,service qos,601
,qos,558
,adaptive routing,500
,network calculus,500
,network delay,500
,packet scheduling,500
,qos requirements,500
,round robin,500
117,planar graphs,1300
,graph coloring,702
,random walks,700
,tree width,700
,problem finding,500
,verbar verbar,500
,graphs,472
,bounded treewidth,400
,chromatic number,400
,graphs graphs,400
118,participatory design,2800
,usability evaluation,1360
,centered design,1300
,design guidelines,1200
,design process,1125
,usability problems,1100
,usability testing,1100
,user centered design,1000
,usability,937
,interaction hci,900
119,data collection,400
,paper introduces,400
,proposed model,400
,learning based,300
,system enables,300
,user friendly,300
,linked data,252
,peer peer,250
,fine grained,139
,provide,91
120,neural network,6482
,neural networks,4100
,reinforcement learning,2734
,machine learning,1517
,artificial neural,1300
,neural,1077
,artificial neural networks,900
,classifier systems,600
,learning approach,600
,learning classifier,600
121,machine learning,4072
,feature selection,3000
,supervised learning,3000
,active learning,2405
,semi supervised,2400
,classification,1800
,support vector machines,1500
,text classification,1500
,vector machines,1500
,classification accuracy,1374
122,virtual machine,1356
,jit compiler,900
,dynamic code,800
,dynamic compilation,800
,native code,800
,calling context,700
,java compiler,700
,java bytecode,642
,compilation,561
,java,510
123,suffix tree,2800
,pattern matching,1917
,data structure,1350
,hash table,1300
,sorting algorithms,1200
,binary tree,1000
,insertion deletion,1000
,sorting algorithm,900
,suffix trees,900
,italicn italic,876
124,programming environment,3300
,development environment,1900
,programming environments,1000
,version control,800
,development environments,700
,development tools,600
,software development environments,600
,software environments,600
,programming tools,500
,software development environment,500
125,instant messaging,1188
,ambient displays,700
,large display,500
,sms messages,500
,mobile device,430
,mobile phone,398
,ubiquitous computing,347
,ambient display,300
,cyber surfing,300
,message notification,300
126,image retrieval,7900
,image annotation,2600
,image search,2400
,video retrieval,1800
,query image,1100
,based image retrieval,1000
,latent semantic,800
,visual features,800
,visual search,800
,annotation,774
127,network management,2000
,network monitoring,1000
,traffic analysis,900
,traffic flows,900
,network measurement,700
,network operators,700
,traffic engineering,600
,anomaly detection,578
,heavy hitters,500
,network service,500
128,sparse matrix,2100
,linear algebra,1900
,finite element,1300
,linear equations,900
,sparse matrices,900
,matrix,805
,row column,800
,singular decomposition svd,800
,matrix multiplication,709
,iterative methods,700
129,leader election,700
,distributed algorithm,500
,labeling scheme,500
,distributed algorithms,483
,fuel tank limited,400
,log rounds,400
,random walk,400
,small world,400
,shortest path,327
,distributed computation,300
130,flow analysis,3600
,pointer analysis,1200
,dependence graph,1100
,points analysis,1100
,program analysis,1022
,call graph,900
,data flow,900
,program slicing,857
,data flow analysis,800
,dataflow analysis,800
131,distance learning,2700
,distance education,1700
,collaborative learning,1500
,based learning,1300
,learning environments,1300
,learning environment,1107
,learning activities,1000
,school students,889
,educational,840
,learning,812
132,functional programming,2626
,functional programs,800
,functional reactive,700
,haskell,630
,functional languages,627
,domain specific,562
,algebraic data,500
,data type,500
,declarative programming,500
,haskell programs,400
133,point cloud,700
,surface reconstruction,600
,medial axis,500
,surface,457
,fluid,441
,implicit functions,400
,implicit surfaces,400
,marching cubes,400
,navier stokes equations,400
,fluid dynamics,312
134,streaming video,600
,streaming media,500
,video streaming,476
,capacity planning,300
,client request aggregation strategy,300
,interoperable metadata,300
,streaming server,300
,video stream,220
,based user,200
,commensurate specific,200
135,clustering,3517
,clustering algorithm,3100
,hierarchical clustering,1700
,subspace clustering,1600
,clustering algorithms,1500
,means clustering,1500
,data mining,1204
,clusters,1050
,clustering method,1000
,spectral clustering,1000
136,motion capture,2800
,facial animation,1300
,human motion,1300
,motion capture data,1100
,motion,932
,facial expressions,738
,animation,717
,human body,700
,human hand,700
,motion data,700
137,web servers,2000
,web server,1000
,based data,700
,proxy server,700
,web objects,700
,proxy caching,600
,web cache,600
,web caching,600
,web services,554
,world wide web,418
138,soft errors,2000
,soft error,1188
,fault tolerance,432
,performance paper,400
,transient errors,400
,binary instrumentation,300
,inter core,300
,memory footprint,300
,optimize data,300
,significant performance,300
139,information visualization,1600
,visual exploration,900
,visualization techniques,812
,user interface,756
,analysis visualization,700
,visual analysis,700
,human factors,608
,visual analytics,600
,user interfaces,558
,visualization,502
140,information extraction,2600
,natural language processing,1806
,natural language,1662
,named entities,1200
,precision recall,800
,extraction,654
,common sense,600
,entity recognition,600
,semantic similarity,600
,semi structured,600
141,collision detection,2800
,haptic rendering,600
,physically based,600
,rigid body,600
,hair simulation,400
,hundreds thousands,400
,collision,356
,collision avoidance,300
,computation time,300
,dynamic simulation,300
142,genetic algorithm,1250
,genetic algorithms,1091
,evolutionary algorithms,963
,global optimization,700
,simulated annealing,655
,crossover operators,600
,linear programming,562
,crossover operator,500
,find optimal,500
,optimal solutions,500
143,congestion control,2200
,tcp,1633
,round trip,1400
,transport protocol,938
,flow control,888
,congestion,829
,communication protocols,800
,rate control,700
,tcp flows,700
,transport protocols,700
144,peer peer,13850
,overlay network,2400
,peer,1814
,peer peer systems,1300
,content distribution,900
,gossip based,900
,content delivery,800
,peer systems,800
,peer peer network,700
,scale distributed,700
145,social networks,1264
,social network,1040
,online communities,667
,social networking,564
,social navigation,500
,work practices,500
,community network,400
,discuss implications,400
,ethnographic study,400
,online community,400
146,sensor networks,8182
,sensor network,7855
,sensor nodes,3493
,wireless sensor,2960
,wireless sensor networks,2738
,wireless sensor network,2019
,sensor,1936
,sensor node,1731
,wireless sensor networks wsns,1700
,sensor data,1200
147,modal logic,1000
,constraint satisfaction,916
,knowledge representation,853
,semantic web,730
,description logics,700
,temporal reasoning,700
,knowledge based,609
,description logic,600
,logic reasoning,600
,ontology based,598
148,logic synthesis,2167
,technology mapping,1800
,decision diagrams,800
,logic circuit,700
,combinational logic,500
,logic circuits,500
,asynchronous circuits,400
,boolean network,400
,don cares,400
,inputs outputs,400
149,security protocols,2200
,secret key,1900
,public key,1800
,cryptographic protocols,1700
,public key cryptography,1100
,encryption decryption,1000
,key cryptography,1000
,rfid tags,1000
,privacy preserving,931
,secret sharing,800
150,software engineering,5927
,surfing net software engineering notes,1200
,icse workshop,1000
,workshop software engineering,800
,software engineers,667
,software development,649
,engineering research,600
,international workshop,533
,international workshop software engineering,500
,reusable software,500
151,virtual environments,1360
,virtual reality,1195
,virtual environment,756
,collaborative virtual,600
,interest management,500
,oil gas,500
,virtual worlds,457
,augmented reality,455
,universal media,400
,virtual world,381
152,switching activity,1300
,power estimation,900
,fpga implementation,600
,power modeling,600
,power dissipation,556
,hardware design,468
,high level synthesis,410
,level synthesis,400
,low power,387
,power consumption,382
153,context aware,1092
,mobile devices,826
,user interfaces,704
,user interface,672
,mixed initiative,600
,conception syst mes,500
,navigation systems,500
,shopping mall,500
,user preferences,319
,multimodal interaction,270
154,amp bull,1268
,online documentation,700
,hypertext systems,500
,hypertext system,400
,digital libraries,377
,amp system,300
,hypertext hypermedia,300
,minimal manual,300
,online information,300
,rhetorical situation,300
155,dynamic range,700
,tone mapping,700
,high dynamic range,500
,projector camera,500
,high resolution,487
,camera flash,400
,projector based,400
,image processing,374
,coherence tomography,300
,structured light,300
156,static analysis,645
,finding bugs,600
,analysis tools,500
,buffer overflows,500
,lines code,500
,symbolic execution,500
,false positives,408
,analysis tool,400
,hook placement linux,400
,path sensitive,400
157,information security,3178
,intrusion detection,3074
,anomaly detection,1328
,cyber security,1100
,security issues,1100
,computer security,812
,intrusion detection systems,800
,security measures,800
,network security,748
,cyber defense,700
158,time series,8200
,euclidean distance,700
,permutation groups,700
,subsequence matching,600
,distance function,500
,dimensionality reduction,400
,euclidean space,400
,permutation group,400
,ptime series,400
,series,357
159,nash equilibrium,1901
,price anarchy,1100
,cost sharing,700
,game theoretic,687
,correlated equilibria,500
,equilibrium,433
,auction mechanism,400
,main result,400
,nash equilibria,400
,probability distribution,400
160,health care,10600
,health,1522
,medical,1276
,medical information,1200
,patient care,1200
,medical informatics,1100
,patient management,1100
,health monitoring,1000
,medical care,1000
,medical records,1000
161,coarse grained,1000
,architecture exploration,600
,cycle accurate,600
,processor architectures,600
,space exploration,600
,application specific,564
,embedded processors,500
,hardware software,300
,fpga based,252
,programmable gate,250
162,concurrent programming,1020
,actor model,600
,concurrent object,600
,coordination language,500
,language distributed,500
,oriented language,500
,object oriented,430
,message passing,420
,abstract machine,400
,bisimulation equivalence,400
163,file system,11500
,file systems,2800
,file,1782
,file server,1400
,file access,1200
,virtual machine,1009
,virtual machines,985
,storage system,812
,operating system,758
,live migration,700
164,iinf inf,2300
,inf iinf inf,800
,inf inf,750
,inf inf inf,600
,iinfii inf,500
,inf inf inf inf,500
,property testing,500
,alpha alpha,400
,iinfin inf,400
,random bits,400
165,concurrency control,2800
,transaction management,1700
,transaction processing,1400
,distributed database,1200
,transaction,1020
,database applications,700
,data items,500
,nested transactions,500
,database management,432
,database systems,417
166,code generation,964
,instruction sets,700
,code generator,600
,bit slice,500
,machine instruction,500
,echo instructions,400
,higher level,400
,special purpose,400
,instruction set,306
,code size,302
167,computer generated,500
,brush strokes,400
,image space,400
,photorealistic rendering,400
,artistic style,300
,color scales,300
,dispersed dot,300
,line drawings,300
,oriental brushwork,300
,red color,300
168,eye movement,3700
,eye tracking,3630
,eye movements,3200
,visually impaired,2276
,eye gaze,2000
,eye tracker,1800
,text entry,1300
,fitts law,1200
,eye,1171
