"|","item","counts"
"","memory hierarchy","809.0"
"","cache hierarchy","800.0"
"13","game play","3242.0"
"","video games","2664.0"
"","online games","2500.0"
"","multiplayer games","2200.0"
"","game","2141.0"
"","game playing","1800.0"
"","player game","1800.0"
"","video game","1800.0"
"","playing game","1600.0"
"","game players","1500.0"
"14","computer graphics","1879.0"
"","interactive graphics","976.0"
"","graphics system","900.0"
"","computer aided","832.0"
"","interactive graphical","600.0"
"","interactive system","600.0"
"","graphics capabilities","500.0"
"","graphics package","500.0"
"","interactive computer graphics","500.0"
"","output devices","500.0"
"15","information theoretic","1300.0"
"","mutual information","900.0"
"","information content","600.0"
"","information theory","600.0"
"","bayesian network","400.0"
"","bayesian networks","302.0"
"","amount information","300.0"
"","based approach","300.0"
"","business information","300.0"
"","communication channels","300.0"
"16","source code","3594.0"
"","reverse engineering","2100.0"
"","software maintenance","900.0"
"","software documentation","800.0"
"","refactoring","737.0"
"","bad smells","600.0"
"","code fragments","600.0"
"","error prone","600.0"
"","software evolution","531.0"
"","code code","500.0"
"17","computer science","7311.0"
"","undergraduate curriculum","1900.0"
"","science","1702.0"
"","curriculum","1556.0"
"","computer science curriculum","1001.0"
"","high school","1000.0"
"","students","842.0"
"","teaching computer","832.0"
"","science education","812.0"
"","school","756.0"
"18","test cases","7473.0"
"","test case","3600.0"
"","test suite","3300.0"
"","software testing","2500.0"
"","testing","2499.0"
"","regression testing","1900.0"
"","test","1760.0"
"","automated testing","1700.0"
"","based testing","1500.0"
"","test coverage","1400.0"
"19","aspect oriented","11500.0"
"","crosscutting concerns","3500.0"
"","object oriented","2869.0"
"","aspect oriented programming","2400.0"
"","aspect","1401.0"
"","aspect oriented programming aop","1300.0"
"","join point","1300.0"
"","separation concerns","1290.0"
"","oriented programming","1029.0"
"","programming aop","1000.0"
"20","digital library","13625.0"
"","digital libraries","12446.0"
"","digital preservation","1400.0"
"","library","1383.0"
"","cultural heritage","1100.0"
"","libraries","994.0"
"","digital","752.0"
"","digital archives","700.0"
"","digital documents","700.0"
"","metadata","650.0"
"21","model driven","2700.0"
"","model transformations","1500.0"
"","design patterns","1467.0"
"","design pattern","1300.0"
"","pattern based","1000.0"
"","driven development","900.0"
"","object oriented","861.0"
"","component model","800.0"
"","model driven development","800.0"
"","web applications","683.0"
"22","ada tasking","1500.0"
"","iso iec","1500.0"
"","ada language","900.0"
"","ada compiler","500.0"
"","iso standards","500.0"
"","standard code","500.0"
"","standard","497.0"
"","standards","459.0"
"","ada ada","400.0"
"","distributed ada","400.0"
"23","expressive power","1100.0"
"","query languages","900.0"
"","query language","854.0"
"","relational algebra","800.0"
"","deductive databases","700.0"
"","deductive database","600.0"
"","magic sets","500.0"
"","view maintenance","500.0"
"","transitive closure","416.0"
"","constraint databases","400.0"
"24","user interface","1915.0"
"","user interfaces","1578.0"
"","direct manipulation","1400.0"
"","graphical interface","1000.0"
"","graphical user","800.0"
"","graphical user interface","700.0"
"","user interface management","600.0"
"","graphical user interfaces","500.0"
"","interface toolkit","500.0"
"","interface user","500.0"
"25","open source","4458.0"
"","open source software","2600.0"
"","source software","1200.0"
"","source code","1021.0"
"","bug fixes","1000.0"
"","bug reports","700.0"
"","open source projects","700.0"
"","open","669.0"
"","free open source","600.0"
"","software repositories","600.0"
"26","parallel computing","2100.0"
"","parallel programming","2076.0"
"","parallel applications","1700.0"
"","parallel implementation","1400.0"
"","parallel computation","1100.0"
"","parallel execution","1100.0"
"","performance computing","1100.0"
"","scalable parallel","1000.0"
"","performance parallel","800.0"
"","parallel programs","795.0"
"27","exception handling","2100.0"
"","autonomic computing","1700.0"
"","reflective middleware","1000.0"
"","dynamic adaptation","900.0"
"","adaptive systems","700.0"
"","fault tolerance","679.0"
"","autonomic systems","600.0"
"","software engineering","548.0"
"","adaptation","513.0"
"","dynamic updates","500.0"
"28","topic models","1300.0"
"","learning rank","1200.0"
"","language models","1000.0"
"","probabilistic latent","600.0"
"","probabilistic models","600.0"
"","information retrieval","550.0"
"","cross lingual","500.0"
"","dirichlet allocation","500.0"
"","language model","500.0"
"","topic model","500.0"
"29","information flow","3800.0"
"","access control","1241.0"
"","information flows","1000.0"
"","security policies","707.0"
"","memory protection","600.0"
"","security policy","493.0"
"","covert timing channels","400.0"
"","information flow policy","400.0"
"","mobile code","400.0"
"","secure information flow","400.0"
"30","panel discussion","1500.0"
"","international workshop","1483.0"
"","researchers practitioners","1400.0"
"","challenges opportunities","1300.0"
"","acm international workshop","1100.0"
"","panel session","1100.0"
"","research community","1100.0"
"","research issues","1100.0"
"","tutorial session","1100.0"
"","research area","1000.0"
"31","multi touch","1700.0"
"","touch","1315.0"
"","input device","1200.0"
"","interaction techniques","1100.0"
"","multi user","1100.0"
"","touch screen","800.0"
"","mobile devices","777.0"
"","user interface","706.0"
"","screen","672.0"
"","devices","479.0"
"32","cost estimation","900.0"
"","effort estimation","800.0"
"","software engineering","722.0"
"","software effort","700.0"
"","effort required","500.0"
"","software teams","500.0"
"","software projects","455.0"
"","software project","421.0"
"","development effort","400.0"
"","development projects","400.0"
"33","register allocation","4100.0"
"","code generated","800.0"
"","optimized code","800.0"
"","code optimization","500.0"
"","compiler optimization","500.0"
"","number registers","500.0"
"","register pressure","500.0"
"","compiler optimizations","487.0"
"","optimizing compiler","375.0"
"","code generation","362.0"
"34","optical networks","1100.0"
"","virtual network","1000.0"
"","area network","900.0"
"","area networks","800.0"
"","network architecture","700.0"
"","local area","600.0"
"","local area network","600.0"
"","gigabit ethernet","500.0"
"","local network","500.0"
"","optical","425.0"
"35","decision support","4200.0"
"","data warehouse","2200.0"
"","data warehousing","1700.0"
"","data warehouses","1500.0"
"","data cube","1200.0"
"","decision support system","1200.0"
"","supply chain","612.0"
"","decision making","609.0"
"","decision makers","517.0"
"","decision table","500.0"
"36","delay tolerant","1900.0"
"","air traffic","1600.0"
"","disruption tolerant","1500.0"
"","air traffic control","800.0"
"","traffic control","700.0"
"","command control","600.0"
"","military operations","600.0"
"","real time","523.0"
"","control system","500.0"
"","control systems","500.0"
"37","requirements engineering","3500.0"
"","requirements","1916.0"
"","requirements specification","1600.0"
"","functional requirements","900.0"
"","requirements specifications","900.0"
"","traceability links","700.0"
"","uml models","700.0"
"","software engineering","623.0"
"","requirements analysis","600.0"
"","formal specification","443.0"
"38","electronic commerce","4100.0"
"","supply chain","816.0"
"","buying selling","800.0"
"","social welfare","800.0"
"","market","781.0"
"","online auctions","700.0"
"","stock market","700.0"
"","nash equilibrium","675.0"
"","commerce","633.0"
"","electronic markets","600.0"
"39","apl","3421.0"
"","apl language","1000.0"
"","apl apl","900.0"
"","apl programs","900.0"
"","apl functions","700.0"
"","apl pthis","700.0"
"","language apl","700.0"
"","apl system","600.0"
"","pthis paper describes","600.0"
"","language design","500.0"
"40","embedded system","1744.0"
"","real time","1497.0"
"","embedded systems","1378.0"
"","embedded devices","900.0"
"","pembedded systems","700.0"
"","embedded applications","600.0"
"","real time embedded","577.0"
"","embedded software","444.0"
"","hardware software","346.0"
"","embedded","336.0"
"41","petri nets","7599.0"
"","petri net","4900.0"
"","program design","800.0"
"","coloured petri nets","700.0"
"","analysis design","400.0"
"","petri net model","400.0"
"","petri","350.0"
"","software engineering","349.0"
"","nets","307.0"
"","sequence charts","300.0"
"42","web services","5267.0"
"","web service","4229.0"
"","business processes","4216.0"
"","business process","3594.0"
"","service composition","3500.0"
"","service oriented","3076.0"
"","service providers","2200.0"
"","office automation","1900.0"
"","workflow management","1800.0"
"","service discovery","1536.0"
"43","fault tolerant","2387.0"
"","fault tolerance","1358.0"
"","defect tolerant","900.0"
"","defect tolerance","700.0"
"","fault diagnosis","700.0"
"","scan chain","700.0"
"","test","649.0"
"","flip flops","600.0"
"","post silicon","600.0"
"","side channel","500.0"
"44","male female","600.0"
"","males females","600.0"
"","job","526.0"
"","career","330.0"
"","skills","322.0"
"","women","309.0"
"","awarded women","300.0"
"","computer related","300.0"
"","desk consultants","300.0"
"","men women","300.0"
"45","computer science","1072.0"
"","pair programming","1000.0"
"","science courses","800.0"
"","students","689.0"
"","computer programming","600.0"
"","introductory programming","600.0"
"","programming concepts","600.0"
"","programming courses","600.0"
"","teaching students","600.0"
"","introductory","551.0"
"47","peer peer","4242.0"
"","web services","1836.0"
"","information sources","800.0"
"","peer networks","800.0"
"","web service","783.0"
"","web web","700.0"
"","information services","600.0"
"","web based","591.0"
"","peer","523.0"
"","directory services","500.0"
"48","linear programming","2529.0"
"","scheduling problem","1600.0"
"","integer programming","1000.0"
"","problem scheduling","1000.0"
"","optimization problem","812.0"
"","allocation problem","700.0"
"","combinatorial optimization","700.0"
"","integer linear","700.0"
"","problem solved","700.0"
"","solve problem","700.0"
"49","query optimization","3800.0"
"","sql queries","1400.0"
"","query optimizer","1300.0"
"","query execution","1200.0"
"","sql query","1000.0"
"","query processing","808.0"
"","join processing","800.0"
"","join algorithms","700.0"
"","query plans","700.0"
"","join algorithm","600.0"
"50","energy aware","2100.0"
"","voltage scaling","1500.0"
"","energy consumption","1354.0"
"","energy saving","1300.0"
"","energy consumed","1200.0"
"","battery powered","1000.0"
"","power management","808.0"
"","energy management","800.0"
"","frequency scaling","800.0"
"","power consumption","734.0"
"51","internet routing","1000.0"
"","future internet","900.0"
"","routing tables","700.0"
"","mobility management","600.0"
"","bgp","582.0"
"","ingress egress","500.0"
"","inter domain","500.0"
"","interdomain routing","400.0"
"","network protocols","400.0"
"","overlay networks","400.0"
"52","multimedia documents","900.0"
"","digital television","600.0"
"","digital media","500.0"
"","interactive digital","400.0"
"","interactive television","400.0"
"","multimedia authoring","400.0"
"","nested context","400.0"
"","audio video","395.0"
"","video content","353.0"
"","television","344.0"
"53","cpu gpu","1400.0"
"","gpu","1066.0"
"","cell processor","1000.0"
"","cell broadband","800.0"
"","gpu accelerated","700.0"
"","graphics processing units gpus","700.0"
"","gpu architectures","600.0"
"","graphics processors","600.0"
"","nvidia cuda","600.0"
"","processing units gpus","600.0"
"54","italicn italic","1001.0"
"","competitive ratio","1000.0"
"","oblivious routing","800.0"
"","italicd italic","537.0"
"","load balancing","522.0"
"","online algorithms","500.0"
"","competitive","419.0"
"","competitive analysis","400.0"
"","tight bounds","400.0"
"","italick italic","376.0"
"55","query log","1500.0"
"","query logs","1300.0"
"","information retrieval","1261.0"
"","search engine","1135.0"
"","query suggestion","1100.0"
"","search result","1100.0"
"","web search","1038.0"
"","search engines","984.0"
"","search behavior","900.0"
"","search logs","900.0"
"56","video games","780.0"
"","web pages","684.0"
"","game","637.0"
"","html pages","500.0"
"","games","437.0"
"","exertion games","400.0"
"","pervasive games","400.0"
"","web page","395.0"
"","computer games","393.0"
"","game play","333.0"
"57","solid modeling","1500.0"
"","cad cam","1100.0"
"","geometric modeling","800.0"
"","voronoi diagram","700.0"
"","geometric objects","600.0"
"","geometric","569.0"
"","contour map","500.0"
"","solid models","500.0"
"","computational geometry","400.0"
"","design manufacturing","400.0"
"58","software engineering","2092.0"
"","software process","1500.0"
"","agile software","1100.0"
"","software development process","1100.0"
"","software development","916.0"
"","agile development","900.0"
"","development processes","800.0"
"","process model","800.0"
"","development process","794.0"
"","agile","711.0"
"59","petri nets","604.0"
"","carlo modeling","500.0"
"","alpha sim","300.0"
"","current state","300.0"
"","devs scheme simulation","300.0"
"","dipole antenna","300.0"
"","heat shock","300.0"
"","monte carlo","263.0"
"","discrete event simulation","213.0"
"","coloured stochastic multilevel multiset rewriting","200.0"
"60","ray tracing","1822.0"
"","global illumination","700.0"
"","illumination","682.0"
"","time rendering","600.0"
"","ray","576.0"
"","lighting","525.0"
"","based rendering","500.0"
"","graphics pipeline","500.0"
"","pixel shader","500.0"
"","light","476.0"
"61","information retrieval","5238.0"
"","document retrieval","2300.0"
"","query expansion","1207.0"
"","retrieval systems","1200.0"
"","retrieval system","1044.0"
"","text retrieval","1000.0"
"","retrieval models","900.0"
"","document collections","800.0"
"","retrieval","774.0"
"","relevance feedback","702.0"
"62","formal verification","928.0"
"","sat solver","900.0"
"","boolean satisfiability","700.0"
"","boolean satisfiability sat","700.0"
"","equivalence checking","600.0"
"","functional verification","600.0"
"","sat solvers","600.0"
"","sat","577.0"
"","hardware verification","500.0"
"","boolean formula","400.0"
"63","placement routing","1700.0"
"","physical design","1200.0"
"","placement","1172.0"
"","rent rule","1100.0"
"","detailed routing","800.0"
"","global routing","700.0"
"","timing driven","600.0"
"","wire length","600.0"
"","simulated annealing","554.0"
"","delay budgeting","500.0"
"64","fault tolerance","9321.0"
"","fault tolerant","6473.0"
"","checkpoint restart","600.0"
"","fault tolerant distributed","600.0"
"","quorum systems","600.0"
"","reliability availability","600.0"
"","tolerance","523.0"
"","byzantine fault tolerant","500.0"
"","fault tolerance distributed","500.0"
"","group communication","500.0"
"65","face recognition","2200.0"
"","computer vision","1900.0"
"","video surveillance","1700.0"
"","vision based","1200.0"
"","face detection","900.0"
"","object tracking","900.0"
"","tracking","811.0"
"","action recognition","600.0"
"","object recognition","600.0"
"","proposed method","517.0"
"66","partial evaluation","2265.0"
"","logic programming","1825.0"
"","lambda calculus","1000.0"
"","partial evaluator","800.0"
"","logic programs","750.0"
"","constraint solving","700.0"
"","term rewriting","700.0"
"","abstract interpretation","642.0"
"","abstract interpretations","600.0"
"","constraint programming","600.0"
"67","structured programming","1267.0"
"","machine language","800.0"
"","data types","750.0"
"","data abstraction","700.0"
"","level languages","700.0"
"","operating system","628.0"
"","level language","516.0"
"","operating systems","514.0"
"","computer systems","468.0"
"","programming languages","412.0"
"68","faculty staff","1300.0"
"","faculty students","800.0"
"","hewlett packard","800.0"
"","students faculty staff","800.0"
"","faculty staff students","700.0"
"","computer lab","600.0"
"","support staff","600.0"
"","academic departments","500.0"
"","staff students","500.0"
"","university delaware","500.0"
"69","deformation","381.0"
"","shape","312.0"
"","sketch based","302.0"
"","furniture arrangements","300.0"
"","interactive modeling","300.0"
"","mesh deformation","300.0"
"","partial shape","300.0"
"","sketch based modeling","300.0"
"","shapes","239.0"
"","deformation equation","200.0"
"70","wireless lan","1100.0"
"","multicast","855.0"
"","access point","700.0"
"","mac protocol","700.0"
"","reliable multicast","700.0"
"","wireless medium","700.0"
"","wireless networks","628.0"
"","vehicular networks","600.0"
"","mac layer","564.0"
"","wireless network","549.0"
"71","question answering","1448.0"
"","document summarization","900.0"
"","text summarization","800.0"
"","information retrieval","711.0"
"","topic segmentation","500.0"
"","cross language","487.0"
"","summarization","427.0"
"","average precision","400.0"
"","keyphrase extraction","400.0"
"","question answer","400.0"
"72","disk drive","1400.0"
"","disk array","700.0"
"","disk arrays","700.0"
"","disk drives","700.0"
"","disk scheduling","600.0"
"","disk head","500.0"
"","disk bandwidth","400.0"
"","disk failures","400.0"
"","mems based storage","400.0"
"","disk","368.0"
"73","participatory sensing","1200.0"
"","mobile phones","939.0"
"","mobile phone","740.0"
"","cell phone","700.0"
"","driver assistance","600.0"
"","driving simulator","600.0"
"","gps traces","600.0"
"","carbon emissions","500.0"
"","mobile sensing","500.0"
"","public transportation","500.0"
"74","differential equations","2600.0"
"","symbolic computation","1900.0"
"","part italicy","1400.0"
"","computer algebra","1359.0"
"","algebraic","916.0"
"","algebraic manipulation","900.0"
"","algebra system","700.0"
"","algebra systems","700.0"
"","symbolic algebra","700.0"
"","differential","699.0"
"75","fourier transform","900.0"
"","las vegas","500.0"
"","vector congruence","500.0"
"","algorithm computing","400.0"
"","fast fourier transform","400.0"
"","isup minus","400.0"
"","multiplication algorithm","400.0"
"","polynomial multiplication","400.0"
"","positive integers","400.0"
"","matrix multiplication","382.0"
"76","type inference","4700.0"
"","type system","4058.0"
"","type","1764.0"
"","type checking","1125.0"
"","static type","900.0"
"","type qualifiers","800.0"
"","type safety","800.0"
"","higher order","753.0"
"","inference algorithm","700.0"
"","intersection types","700.0"
"77","amazon mechanical turk","900.0"
"","mechanical turk","800.0"
"","wiki pages","800.0"
"","wikipedia articles","700.0"
"","wiki","657.0"
"","wikipedia","543.0"
"","articles contributors","400.0"
"","open source","368.0"
"","online communities","333.0"
"","social media","323.0"
"78","nested loops","900.0"
"","loop nests","700.0"
"","parallelizing compilers","700.0"
"","loop","582.0"
"","array intensive","500.0"
"","data locality","500.0"
"","iteration space","500.0"
"","iterations loop","500.0"
"","loop parallelization","500.0"
"","array","461.0"
"79","computational complexity","1700.0"
"","italicn italic","1251.0"
"","interactive proof","1000.0"
"","italicm italic","829.0"
"","complexity theory","800.0"
"","italic","744.0"
"","lower bounds","597.0"
"","time complexity","563.0"
"","italic italic","529.0"
"","complexity problems","500.0"
"80","multi core","900.0"
"","processor cores","800.0"
"","thermal","637.0"
"","asymmetry aware","600.0"
"","power performance","600.0"
"","temperature aware","600.0"
"","architectural power","500.0"
"","dynamic thermal","500.0"
"","thermal management","500.0"
"","temperature","474.0"
"81","surveyor forum","1900.0"
"","openmath mathml","400.0"
"","amp rho amp","300.0"
"","disjoint paths","300.0"
"","surveyor forum technical","300.0"
"","amp bull","290.0"
"","amp amp","238.0"
"","computer algebra","227.0"
"","mathematical expressions","202.0"
"","special track","202.0"
"82","safety critical","800.0"
"","automatic verification","700.0"
"","abstraction refinement","500.0"
"","local reasoning","500.0"
"","predicate abstraction","500.0"
"","smt solver","500.0"
"","static analysis","475.0"
"","model checking","420.0"
"","decision procedures","400.0"
"","separation logic","400.0"
"83","remote attestation","700.0"
"","trusted computing","700.0"
"","malware","570.0"
"","malicious behavior","500.0"
"","malware detection","500.0"
"","security attacks","500.0"
"","malicious attacks","400.0"
"","malware detectors","400.0"
"","memory corruption","400.0"
"","sensitive data","400.0"
"84","performance prediction","900.0"
"","performance measurement","700.0"
"","performance analysis","661.0"
"","performance metrics","500.0"
"","software performance","500.0"
"","application specific","410.0"
"","performance metric","400.0"
"","performance models","400.0"
"","palladio component","300.0"
"","performance model","253.0"
"85","monte carlo","4080.0"
"","monte carlo simulation","1600.0"
"","random number generators","800.0"
"","steady state","800.0"
"","carlo simulation","700.0"
"","random number","700.0"
"","confidence intervals","600.0"
"","simulation experiments","600.0"
"","importance sampling","400.0"
"","monte carlo simulations","400.0"
"86","algorithm animation","800.0"
"","visualization tool","800.0"
"","computer science","498.0"
"","algorithm animations","400.0"
"","algorithm visualization","400.0"
"","visualization tools","400.0"
"","computer graphics","364.0"
"","teaching learning","328.0"
"","active learning","301.0"
"","visual learning","300.0"
"87","common lisp","900.0"
"","lisp","632.0"
"","delimited control","600.0"
"","functional language","556.0"
"","continuation based","500.0"
"","continuation passing","500.0"
"","lazy evaluation","500.0"
"","lisp machine","500.0"
"","functional programming","450.0"
"","control effects","400.0"
"88","concurrent programs","1800.0"
"","race conditions","1200.0"
"","data races","700.0"
"","concurrency bugs","600.0"
"","multithreaded programs","600.0"
"","race detection","600.0"
"","races deadlocks","600.0"
"","record replay","500.0"
"","data race","400.0"
"","replay log","400.0"
"89","product line","8900.0"
"","product lines","4100.0"
"","software product lines","1500.0"
"","software product line","1200.0"
"","product line engineering","1100.0"
"","product","824.0"
"","product family","800.0"
"","product line spl","600.0"
"","line","438.0"
"","component reuse","400.0"
"90","texture synthesis","1300.0"
"","anti aliasing","700.0"
"","ray tracing","668.0"
"","texture mapping","408.0"
"","hidden surface","400.0"
"","scan line","400.0"
"","texture","340.0"
"","computer graphics","333.0"
"","hidden surface elimination","300.0"
"","motion blur","300.0"
"91","cache memory","1200.0"
"","embedded memory","1000.0"
"","cache architecture","900.0"
"","memory banks","900.0"
"","cache memories","800.0"
"","memory controller","800.0"
"","chip memory","730.0"
"","data access","700.0"
"","memory memory","700.0"
"","scratchpad memory","700.0"
"92","cellular automata","2157.0"
"","quantum mechanics","1400.0"
"","quantum computing","1300.0"
"","quantum","1139.0"
"","quantum computer","800.0"
"","quantum classical","600.0"
"","efficient parallel","500.0"
"","optimal parallel","500.0"
"","turing machines","500.0"
"","classical quantum","400.0"
"93","chip multiprocessors","700.0"
"","blue gene","600.0"
"","san diego supercomputer","600.0"
"","navier stokes","400.0"
"","number cores","400.0"
"","sgi altix","400.0"
"","chip core","300.0"
"","exascale computing","300.0"
"","high performance computing","300.0"
"","pthree dimensional","300.0"
"94","bloom filters","2800.0"
"","packet classification","1400.0"
"","bloom filter","1300.0"
"","clock period","1300.0"
"","skew scheduling","700.0"
"","clock skew scheduling","500.0"
"","false positive","400.0"
"","packet classifiers","400.0"
"","clock skew","329.0"
"","false positives","306.0"
"95","scheduling policies","1200.0"
"","lock free","1100.0"
"","scheduling policy","900.0"
"","scheduling algorithms","700.0"
"","task scheduling","700.0"
"","mutual exclusion","688.0"
"","synchronization","684.0"
"","gang scheduling","600.0"
"","synchronization operations","600.0"
"","work stealing","600.0"
"96","sign language","3600.0"
"","speech recognition","1772.0"
"","american sign language","800.0"
"","natural language","678.0"
"","speech recognizer","600.0"
"","american sign","500.0"
"","american sign language asl","500.0"
"","speech synthesis","500.0"
"","machine translation","408.0"
"","speech","405.0"
"97","audio video","2924.0"
"","video clips","2700.0"
"","video streaming","1904.0"
"","video","1818.0"
"","sports video","1800.0"
"","video streams","1800.0"
"","video content","1625.0"
"","video quality","1500.0"
"","video summarization","1500.0"
"","interactive video","1200.0"
"98","creative thinking","400.0"
"","human computer interaction","400.0"
"","man machine","400.0"
"","pupil size","400.0"
"","brain computer","300.0"
"","experience sampling","300.0"
"","interactive systems","300.0"
"","weekend battle","300.0"
"","machine learning","279.0"
"","existing approaches","200.0"
"99","data center","423.0"
"","cmos process","400.0"
"","fully integrated","400.0"
"","hardware implementation","400.0"
"","sigma delta","400.0"
"","single chip","400.0"
"","ultra low","400.0"
"","vlsi implementation","400.0"
"","high speed","252.0"
"","low latency","252.0"
"100","functional units","1600.0"
"","software pipelining","1600.0"
"","level parallelism","1000.0"
"","instruction scheduling","900.0"
"","control unit","800.0"
"","modulo scheduling","800.0"
"","functional unit","700.0"
"","instruction level parallelism","700.0"
"","instruction level","600.0"
"","processor architecture","600.0"
"101","vlsi design","1800.0"
"","analog circuits","1300.0"
"","vlsi layout","900.0"
"","circuit simulation","700.0"
"","design automation","612.0"
"","automated design","600.0"
"","design methodology","600.0"
"","layout","507.0"
"","channel routing","500.0"
"","vlsi circuit","500.0"
"102","product reviews","1100.0"
"","sentiment analysis","600.0"
"","opinion","472.0"
"","hotel reviews","400.0"
"","opinion mining","400.0"
"","sentiment","386.0"
"","reviews","349.0"
"","cross domain sentiment","300.0"
"","information explosion","300.0"
"","news sentiment","300.0"
"105","privacy preserving","3451.0"
"","differential privacy","1400.0"
"","preserving privacy","1000.0"
"","location privacy","900.0"
"","private information","900.0"
"","privacy aware","800.0"
"","privacy preservation","800.0"
"","privacy","736.0"
"","sensitive information","700.0"
"","differentially private","600.0"
"106","children","1566.0"
"","tangible interfaces","1400.0"
"","physical objects","900.0"
"","tangible","820.0"
"","young children","800.0"
"","children ages","700.0"
"","pwe propose","600.0"
"","tangible interaction","600.0"
"","tangible user","600.0"
"","school children","500.0"
"107","genetic programming","8300.0"
"","automatic programming","1600.0"
"","grammatical evolution","1100.0"
"","genetic programs","700.0"
"","program transformations","627.0"
"","automatic generation","500.0"
"","automatic synthesis","500.0"
"","program generator","500.0"
"","evolutionary computation","404.0"
"","program synthesis","400.0"
"108","computer science","880.0"
"","experiences teaching","500.0"
"","hands labs","500.0"
"","hands lab","400.0"
"","students understand","400.0"
"","undergraduate students","400.0"
"","laboratory","342.0"
"","teaching operating systems","300.0"
"","teaching programming","300.0"
"","students","277.0"
"109","information systems","935.0"
"","technology adoption","700.0"
"","organizational","460.0"
"","business process","408.0"
"","action research","400.0"
"","competitive advantage","400.0"
"","findings study","400.0"
"","implications findings","400.0"
"","perceived usefulness","400.0"
"","technology acceptance","400.0"
"110","moving objects","2300.0"
"","spatio temporal","922.0"
"","top queries","600.0"
"","signature file","500.0"
"","uncertain data","500.0"
"","moving object","400.0"
"","query answers","400.0"
"","spatial network","400.0"
"","spatio temporal data","400.0"
"","query processing","369.0"
"111","volume rendering","2200.0"
"","data visualization","1300.0"
"","scientific visualization","900.0"
"","volume data","900.0"
"","volume","792.0"
"","isosurface extraction","700.0"
"","based visualization","600.0"
"","interactive exploration","600.0"
"","interactive visualization","408.0"
"","ray casting","400.0"
"112","database design","1300.0"
"","entity relationship","800.0"
"","relational model","700.0"
"","data base","633.0"
"","data models","600.0"
"","functional dependencies","506.0"
"","normal forms","500.0"
"","data model","436.0"
"","relational databases","419.0"
"","relational data","408.0"
"113","pub fmt","37409.0"
"","inline equation","4700.0"
"","pub fmt pub fmt","2200.0"
"","external memory","1700.0"
"","fmt pub fmt","1500.0"
